Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
33,base_setup,diff,18.73e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
34,base_setup,diff,16.97e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
35,base_setup,diff,-33.71e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=2",,,,,,
36,base_setup,diff,-81.94e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=1.8, mc_iteration=1",,,,,,
37,base_setup,diff,56.62e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=1.8, mc_iteration=2",,,,,,
38,base_setup,diff,97.57e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=1",,,,,,
39,base_setup,diff,4.308e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=2",,,,,,
40,base_setup,diff,-1.377e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
41,base_setup,diff,175e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
42,base_setup,diff,202.6e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
43,base_setup,diff,-29.41e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=0, mc_iteration=2",,,,,,
44,base_setup,diff,-76.48e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=1.8, mc_iteration=1",,,,,,
45,base_setup,diff,212.1e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=1.8, mc_iteration=2",,,,,,
46,base_setup,diff,283e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=1",,,,,,
47,base_setup,diff,8.16e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=2",,,,,,
48,base_setup,diff,4.415e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
49,base_setup,diff,-182.2e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
50,base_setup,diff,-128.4e-3,,,
