Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.16e-3,,5.43e-3,-1.427e-3,5.426e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),11.71e-3,,218e-3,162.6e-3,57.51e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-155.7e-3,,-29.41e-3,-68.71e-3,40.02e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),158.9e-3,,283e-3,234e-3,42.04e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-8.387e-3,,10.89e-3,3.034e-3,5.934e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-316.5e-3,,-123.8e-3,-173.9e-3,62.03e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-366.4e-3,,-192.1e-3,-245.6e-3,56.98e-3,,0
