,,Parameter,Nominal,,,,,,temp_0,temp_1,temp_2
,,temperature,27,,,,,,-40,25,125

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,temp_0,temp_1,temp_2
25,base_setup,diff,82.59e-3,,,,81.24e-3,83.45e-3,83.45e-3,82.62e-3,81.24e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
26,base_setup,diff,130.5e-3,,,,122.2e-3,135.9e-3,135.9e-3,130.6e-3,122.2e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
27,base_setup,diff,15.02e-3,,,,13.5e-3,16.03e-3,16.03e-3,15.05e-3,13.5e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
28,base_setup,diff,63.17e-3,,,,54.38e-3,69.34e-3,69.34e-3,63.35e-3,54.38e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
29,base_setup,diff,40.62e-3,,,,38.86e-3,43.53e-3,38.86e-3,40.56e-3,43.53e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
30,base_setup,diff,89.42e-3,,,,85.17e-3,92.61e-3,92.61e-3,89.51e-3,85.17e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
31,base_setup,diff,-27.81e-3,,,,-30.14e-3,-25.02e-3,-30.14e-3,-27.87e-3,-25.02e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
32,base_setup,diff,21.03e-3,,,,16.46e-3,24.12e-3,24.12e-3,21.13e-3,16.46e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
33,base_setup,diff,49.97e-3,,,,45.43e-3,55.73e-3,45.43e-3,49.85e-3,55.73e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
34,base_setup,diff,97.33e-3,,,,96.09e-3,97.7e-3,97.7e-3,97.35e-3,96.09e-3
